10  !No of Header lines including this one    
c                  
c  spectral base: SPECTRA bands          
c                  
c  This file contains PROSPECT absorption coefficients that are constant
c  modified from Baret COEFSPE.XLS Kw water changed    
c                  
c  Wavel.  Refr.index  Kdm  Kab  Kw  Ks  H2O_refr  H2O_abko  
c  nm  leaf  dry  matter  Chlorohyll  Water  senescense    
c                  
201  !  number  of  spectral  bands        
1.680  1.34388    6.66790  0.00000  6.33011  0.00000  1.31556   6.33011
1.690  1.34248    7.24333  0.00000  6.35546  0.00000  1.31520   6.35546
1.700  1.34113    7.85350  0.00000  6.44907  0.00000  1.31479   6.44907
1.710  1.33982    8.33967  0.00000  6.62033  0.00000  1.31440   6.62033
1.720  1.33856    8.71130  0.00000  6.88382  0.00000  1.31410   6.88382
1.730  1.33737    8.87178  0.00000  7.25062  0.00000  1.31396   7.25062
1.740  1.33626    8.68070  0.00000  7.71032  0.00000  1.31396   7.71032
1.750  1.33521    8.45986  0.00000  8.23498  0.00000  1.31399   8.23498
1.760  1.33419    8.31060  0.00000  8.79304  0.00000  1.31395   8.79304
1.770  1.33320    8.05203  0.00000  9.34168  0.00000  1.31374   9.34168
1.780  1.33225    7.74628  0.00000  9.82939  0.00000  1.31334   9.82939
1.790  1.33136    7.48222  0.00000 10.20033  0.00000  1.31272  10.20033
1.800  1.33054    7.29937  0.00000 10.36435  0.00000  1.31213  10.36435
1.810  1.32973    7.17006  0.00000 10.31465  0.00000  1.31195  10.31465
1.820  1.32890    7.04135  0.00000 10.47145  0.00000  1.31198  10.47145
1.830  1.32806    6.86487  0.00000 10.86303  0.00000  1.31182  10.86303
1.840  1.32728    6.66845  0.00000 10.69514  0.00000  1.31149  10.69514
1.850  1.32658    6.49481  0.00000 11.57493  0.00000  1.31109  11.57493
1.860  1.32588    6.27555  0.00000 17.04910  0.00000  1.31071  17.04910
1.870  1.32517    6.05756  0.00000 26.47156  0.00000  1.31040  26.47156
1.880  1.32446    5.89337  0.00000 36.66709  0.00000  1.31015  36.66709
1.890  1.32377    6.11287  0.00000 45.19828  0.00000  1.30995  45.19828
1.900  1.32312    7.55011  0.00000 51.08452  0.00000  1.30977  51.08452
1.910  1.32248    9.50086  0.00000 54.68042  0.00000  1.30957  54.68042
1.920  1.32183   11.30854  0.00000 56.84093  0.00000  1.30928  56.84093
1.930  1.32113   12.49924  0.00000 57.92464  0.00000  1.30884  57.92464
1.940  1.32044   12.73849  0.00000 57.93405  0.00000  1.30826  57.93405
1.950  1.31979   12.71854  0.00000 57.12597  0.00000  1.30763  57.12597
1.960  1.31913   12.47610  0.00000 55.83019  0.00000  1.30707  55.83019
1.970  1.31842   12.17032  0.00000 54.21911  0.00000  1.30664  54.21911
1.980  1.31767   12.04499  0.00000 52.27138  0.00000  1.30636  52.27138
1.990  1.31690   11.87555  0.00000 49.95250  0.00000  1.30616  49.95250
2.000  1.31608   11.83518  0.00000 47.36707  0.00000  1.30600  47.36707
2.010  1.31524   12.25446  0.00000 44.73690  0.00000  1.30583  44.73690
2.020  1.31436   13.13050  0.00000 42.20420  0.00000  1.30562  42.20420
2.030  1.31342   14.51396  0.00000 39.80963  0.00000  1.30536  39.80963
2.040  1.31240   16.34350  0.00000 37.52705  0.00000  1.30503  37.52705
2.050  1.31136   18.36770  0.00000 35.30236  0.00000  1.30461  35.30236
2.060  1.31028   20.23671  0.00000 33.14537  0.00000  1.30414  33.14537
2.070  1.30917   21.36775  0.00000 31.10743  0.00000  1.30363  31.10743
2.080  1.30802   21.93450  0.00000 29.24291  0.00000  1.30315  29.24291
2.090  1.30684   22.48116  0.00000 27.59752  0.00000  1.30270  27.59752
2.100  1.30566   23.11771  0.00000 26.17954  0.00000  1.30228  26.17954
2.110  1.30448   23.60760  0.00000 24.96455  0.00000  1.30187  24.96455
2.120  1.30331   23.80131  0.00000 23.91573  0.00000  1.30141  23.91573
2.130  1.30210   23.97280  0.00000 22.98954  0.00000  1.30088  22.98954
2.140  1.30087   24.21918  0.00000 22.15660  0.00000  1.30026  22.15660
2.150  1.29968   24.44876  0.00000 21.42015  0.00000  1.29956  21.42015
2.160  1.29849   24.49996  0.00000 20.79229  0.00000  1.29881  20.79229
2.170  1.29726   24.34971  0.00000 20.28508  0.00000  1.29805  20.28508
2.180  1.29605   23.98770  0.00000 19.90991  0.00000  1.29728  19.90991
2.190  1.29487   23.34666  0.00000 19.67739  0.00000  1.29655  19.67739
2.200  1.29367   22.62860  0.00000 19.59662  0.00000  1.29588  19.59662
2.210  1.29243   21.99178  0.00000 19.66853  0.00000  1.29527  19.66853
2.220  1.29118   21.46299  0.00000 19.88112  0.00000  1.29469  19.88112
2.230  1.28996   21.47340  0.00000 20.21818  0.00000  1.29413  20.21818
2.240  1.28878   22.54965  0.00000 20.66279  0.00000  1.29353  20.66279
2.250  1.28764   24.72695  0.00000 21.19768  0.00000  1.29288  21.19768
2.260  1.28652   27.48314  0.00000 21.80576  0.00000  1.29214  21.80576
2.270  1.28540   30.28236  0.00000 22.47030  0.00000  1.29128  22.47030
2.280  1.28430   32.47155  0.00000 23.17980  0.00000  1.29026  23.17980
2.290  1.28323   34.30419  0.00000 23.94457  0.00000  1.28913  23.94457
2.300  1.28217   35.89518  0.00000 24.78838  0.00000  1.28794  24.78838
2.310  1.28111   36.77108  0.00000 25.73385  0.00000  1.28675  25.73385
2.320  1.28014   36.50248  0.00000 26.80051  0.00000  1.28563  26.80051
2.330  1.27931   35.85867  0.00000 28.00195  0.00000  1.28463  28.00195
2.340  1.27861   35.99648  0.00000 29.33185  0.00000  1.28378  29.33185
2.350  1.27783   36.11919  0.00000 30.76312  0.00000  1.28303  30.76312
2.360  1.27689   35.60366  0.00000 32.26600  0.00000  1.28303  32.26600
2.370  1.27595   34.65321  0.00000 33.81236  0.00000  1.28303  33.81236
2.380  1.27509   34.02239  0.00000 35.37676  0.00000  1.28303  35.37676
2.390  1.27434   33.71009  0.00000 36.94800  0.00000  1.28303  36.94800
2.400  1.27378   33.35571  0.00000 38.54951  0.00000  1.28303  38.54951
