Soil code          1
Hapke_b         0.84
Hapke_c         0.68
Hapke_B0        0.30
Hapke_h         0.23
SM%              5.0
Cab_green       70.0
Cw_green       0.008
Cdm_green      0.003
Cs_green        0.05
N_green        1.500
Cab_brown        5.0
Cw_brown       0.001
Cdm_brown      0.005
Cs_brown        1.00
N_brown        2.000
LAI             1.00
LIDF a         -0.35
LIDF b         -0.15
hot             0.05
fB              0.00
D               0.80
Cv%             100.
zeta            0.50
sza             30.0
azi              0.0

          wavelengths in micron:
   8.0   0.1044	0.1774	0.1881	0.5333	0.6089	
   9.0   0.1042	0.1770	0.1877	0.5325	0.6080	
  10.0   0.1039	0.1766	0.1874	0.5317	0.6072	
  11.0   0.1036	0.1762	0.1869	0.5310	0.6064	
  12.0   0.1034	0.1758	0.1865	0.5302	0.6056	
  13.0   0.1031	0.1754	0.1861	0.5294	0.6048	
  14.0   0.1028	0.1750	0.1857	0.5287	0.6040	
  15.0   0.1025	0.1745	0.1852	0.5279	0.6032	
  16.0   0.1022	0.1741	0.1847	0.5272	0.6025	
  17.0   0.1019	0.1736	0.1841	0.5265	0.6017	
  18.0   0.1015	0.1731	0.1835	0.5258	0.6010	
  19.0   0.1011	0.1725	0.1829	0.5251	0.6003	
  20.0   0.1007	0.1720	0.1822	0.5244	0.5996	
  21.0   0.1003	0.1714	0.1815	0.5238	0.5989	
  22.0   0.0998	0.1709	0.1808	0.5231	0.5981	
  23.0   0.0994	0.1703	0.1801	0.5224	0.5974	
  24.0   0.0990	0.1697	0.1793	0.5217	0.5967	
  25.0   0.0985	0.1691	0.1786	0.5210	0.5960	
  26.0   0.0980	0.1684	0.1777	0.5203	0.5953	
  27.0   0.0975	0.1678	0.1768	0.5197	0.5946	
  28.0   0.0970	0.1671	0.1759	0.5191	0.5940	
  29.0   0.0964	0.1664	0.1749	0.5185	0.5934	
  30.0   0.0958	0.1656	0.1739	0.5179	0.5927	
  31.0   0.0952	0.1649	0.1728	0.5173	0.5921	
  32.0   0.0946	0.1641	0.1718	0.5168	0.5915	
  33.0   0.0939	0.1633	0.1706	0.5162	0.5909	
  34.0   0.0933	0.1625	0.1695	0.5156	0.5903	
  35.0   0.0926	0.1616	0.1683	0.5150	0.5896	
  36.0   0.0919	0.1608	0.1671	0.5144	0.5891	
  37.0   0.0911	0.1599	0.1658	0.5139	0.5885	
  38.0   0.0903	0.1589	0.1644	0.5134	0.5880	
  39.0   0.0895	0.1580	0.1630	0.5129	0.5875	
  40.0   0.0887	0.1570	0.1615	0.5124	0.5870	
  41.0   0.0878	0.1559	0.1600	0.5120	0.5865	
  42.0   0.0869	0.1549	0.1584	0.5115	0.5860	
  43.0   0.0860	0.1538	0.1568	0.5110	0.5855	
  44.0   0.0851	0.1527	0.1551	0.5105	0.5850	
  45.0   0.0841	0.1516	0.1534	0.5101	0.5845	
  46.0   0.0831	0.1504	0.1516	0.5096	0.5840	
  47.0   0.0820	0.1491	0.1497	0.5092	0.5836	
  48.0   0.0809	0.1479	0.1477	0.5088	0.5832	
  49.0   0.0798	0.1466	0.1457	0.5085	0.5828	
  50.0   0.0786	0.1452	0.1436	0.5081	0.5824	
  51.0   0.0774	0.1438	0.1414	0.5078	0.5821	
  52.0   0.0761	0.1424	0.1391	0.5074	0.5817	
  53.0   0.0748	0.1409	0.1368	0.5071	0.5813	
  54.0   0.0735	0.1394	0.1344	0.5067	0.5810	
