Soil code          1
Hapke_b         0.84
Hapke_c         0.68
Hapke_B0        0.30
Hapke_h         0.23
SM%              5.0
Cab_green       70.0
Cw_green       0.008
Cdm_green      0.003
Cs_green        0.05
N_green        1.500
Cab_brown        5.0
Cw_brown       0.001
Cdm_brown      0.005
Cs_brown        1.00
N_brown        2.000
LAI             1.00
LIDF a         -0.35
LIDF b         -0.15
hot             0.05
fB              0.00
D               0.80
Cv%             100.
zeta            0.50
sza             30.0
vza              0.0
azi              0.0

  WL           SOIL           LEAF green    LEAF brown          CANOPY
 (nm)   rso  rdo  rsd  rdd    refl  tran    refl  tran    rso  rdo  rsd  rdd
1680.  78.4 78.4 78.4 78.4    34.8  44.1    45.7  41.2   62.6 55.1 55.1 55.3
1690.  78.5 78.5 78.5 78.5    34.5  43.9    45.2  40.9   62.3 54.8 54.8 55.0
1700.  78.5 78.5 78.5 78.5    34.2  43.6    44.7  40.5   61.9 54.3 54.3 54.4
1710.  78.5 78.5 78.5 78.5    33.8  43.4    44.3  40.3   61.4 53.8 53.8 53.8
1720.  78.5 78.5 78.5 78.5    33.5  43.0    44.0  40.1   60.9 53.3 53.2 53.1
1730.  78.6 78.6 78.6 78.6    33.1  42.7    43.8  40.0   60.4 52.7 52.7 52.5
1740.  78.6 78.6 78.6 78.6    32.7  42.4    43.8  40.1   60.0 52.3 52.2 51.9
1750.  78.7 78.7 78.7 78.7    32.3  42.0    43.9  40.2   59.5 51.7 51.6 51.3
1760.  78.7 78.7 78.7 78.7    31.9  41.6    43.8  40.3   59.0 51.1 51.0 50.5
1770.  78.7 78.7 78.7 78.7    31.5  41.3    43.9  40.5   58.5 50.6 50.4 49.9
1780.  78.8 78.8 78.8 78.8    31.2  41.0    44.0  40.7   58.1 50.2 50.0 49.4
1790.  78.9 78.9 78.9 78.9    30.9  40.8    44.1  40.8   57.9 49.9 49.8 49.1
1800.  79.0 79.0 79.0 79.0    30.8  40.8    44.2  41.0   57.9 49.9 49.7 49.1
1810.  79.0 79.0 79.0 79.0    30.9  40.9    44.2  41.1   58.0 50.0 49.8 49.2
1820.  78.9 78.9 78.9 78.9    30.8  40.9    44.3  41.3   57.8 49.8 49.7 49.0
1830.  78.9 78.9 78.9 78.9    30.5  40.6    44.3  41.4   57.5 49.5 49.3 48.6
1840.  79.1 79.1 79.1 79.1    30.7  40.9    44.4  41.6   57.9 49.9 49.7 49.0
1850.  79.1 79.1 79.1 79.1    30.1  40.2    44.4  41.6   57.1 49.0 48.8 48.0
1860.  79.0 79.0 79.0 79.0    26.5  36.1    43.8  41.1   52.3 43.8 43.4 41.9
1870.  78.6 78.6 78.6 78.6    21.8  30.4    42.7  40.0   46.5 37.6 37.0 34.5
1880.  78.0 78.0 78.0 78.0    18.0  25.5    41.5  38.9   42.2 33.0 32.3 29.2
1890.  77.0 77.0 77.0 77.0    15.4  22.3    40.3  37.7   39.3 30.1 29.3 25.9
1900.  76.1 76.1 76.1 76.1    13.9  20.2    38.8  36.3   37.5 28.3 27.5 23.9
1910.  75.6 75.6 75.6 75.6    13.0  19.0    37.3  34.9   36.4 27.3 26.4 22.8
1920.  75.6 75.6 75.6 75.6    12.4  18.2    36.2  33.8   36.0 26.8 25.9 22.2
1930.  75.7 75.7 75.7 75.7    12.1  17.9    35.5  33.2   35.8 26.5 25.7 21.9
1940.  75.7 75.7 75.7 75.7    12.1  17.9    35.4  33.1   35.8 26.6 25.7 21.9
1950.  76.0 76.0 76.0 76.0    12.3  18.1    35.4  33.3   36.0 26.8 25.9 22.1
1960.  76.4 76.4 76.4 76.4    12.5  18.5    35.7  33.5   36.4 27.1 26.3 22.5
1970.  76.7 76.7 76.7 76.7    12.8  19.0    35.9  33.9   36.9 27.6 26.7 22.9
1980.  77.0 77.0 77.0 77.0    13.2  19.6    36.2  34.2   37.4 28.0 27.2 23.5
1990.  77.2 77.2 77.2 77.2    13.7  20.4    36.5  34.5   37.9 28.6 27.7 24.1
2000.  77.3 77.3 77.3 77.3    14.3  21.2    36.7  34.9   38.5 29.2 28.4 24.8
2010.  77.5 77.5 77.5 77.5    14.8  22.1    36.7  35.0   39.2 29.9 29.1 25.6
2020.  77.6 77.6 77.6 77.6    15.4  22.9    36.5  34.8   39.8 30.5 29.7 26.3
2030.  77.7 77.7 77.7 77.7    15.9  23.6    36.1  34.5   40.3 31.1 30.3 27.0
2040.  77.8 77.8 77.8 77.8    16.3  24.2    35.4  33.9   40.8 31.6 30.8 27.6
2050.  77.9 77.9 77.9 77.9    16.7  24.9    34.6  33.2   41.3 32.1 31.3 28.1
2060.  78.1 78.1 78.1 78.1    17.1  25.5    33.9  32.6   41.8 32.6 31.9 28.8
