Wavelength	Blackberry	Grass	Blueberry	Litter	Humus	Soil
516	0.060877535	0.071082387	0.069273881	0.090064367	0.023403123	0.044910419
517	0.06294403	0.073387914	0.071589081	0.090822834	0.023486959	0.045259047
518	0.065066017	0.075742413	0.073956385	0.091544636	0.023541228	0.045587681
519	0.067250047	0.078155868	0.076375968	0.092212681	0.023574506	0.045894625
520	0.069487987	0.080602939	0.078823339	0.09288357	0.023612159	0.046202465
521	0.071760985	0.083049101	0.081289027	0.093595463	0.023655069	0.046524247
522	0.074047531	0.085497836	0.083756191	0.094314789	0.023700543	0.046859699
523	0.076325961	0.087923066	0.086186927	0.095033302	0.023736796	0.047197928
524	0.078546339	0.090266699	0.088518153	0.095732167	0.023733802	0.04751013
525	0.080722137	0.092532685	0.090780511	0.09644646	0.023730262	0.047833473
526	0.082825051	0.094692841	0.092942162	0.097134402	0.023716417	0.048145779
527	0.084860135	0.096758801	0.095026205	0.09786685	0.023741658	0.048485469
528	0.086806	0.098725917	0.09702225	0.098680594	0.023824673	0.048893764
529	0.088636867	0.100557499	0.098876954	0.099452032	0.023884442	0.049283238
530	0.090329623	0.102226344	0.100571395	0.100183459	0.023932552	0.049650809
531	0.091910005	0.103756313	0.102153801	0.100931113	0.023995143	0.05003961
532	0.093351039	0.105140165	0.103619331	0.101697298	0.024039422	0.05043649
533	0.094667876	0.106392856	0.104973573	0.102490991	0.024092104	0.050839662
534	0.095871785	0.107515827	0.106212413	0.103288252	0.024161092	0.051247073
535	0.096959139	0.108493168	0.107336946	0.104099287	0.024236689	0.051668083
536	0.097946241	0.109359757	0.108345196	0.104897437	0.024300104	0.052072186
537	0.098838832	0.110125383	0.109256645	0.10566334	0.024351537	0.05246697
538	0.099646808	0.110789361	0.110085387	0.10646262	0.024415386	0.052891596
539	0.100380884	0.111377102	0.110842453	0.107289632	0.02447606	0.053326556
540	0.101057452	0.111915502	0.111547754	0.108128994	0.024530133	0.053758179
541	0.101705331	0.112421702	0.112216208	0.109005626	0.024604999	0.054206747
542	0.102335658	0.112897041	0.112862457	0.109891038	0.024678881	0.05467222
543	0.102943123	0.113342445	0.11346752	0.11077132	0.024746268	0.05513916
544	0.103521113	0.113763752	0.114024792	0.111611908	0.024789323	0.055584984
545	0.104093346	0.11419475	0.114606957	0.112496563	0.024860109	0.056066254
546	0.10463422	0.114601672	0.115173814	0.113381506	0.02493258	0.056543193
547	0.105134164	0.114968927	0.115691563	0.114203673	0.024962322	0.056970888
548	0.10559294	0.115305997	0.116172595	0.115045652	0.025009067	0.057404598
549	0.106003487	0.115606374	0.116624683	0.115919991	0.025062854	0.057860108
550	0.106331623	0.115835375	0.117013381	0.116785831	0.025094983	0.05831413
551	0.106588455	0.115997858	0.117335512	0.117650334	0.025137188	0.05876081
552	0.106754744	0.116063176	0.117583413	0.118546714	0.025204083	0.059242209
553	0.106800499	0.116008373	0.117723271	0.119451503	0.025276668	0.059736212
554	0.106726601	0.115851327	0.117734656	0.120355061	0.025344041	0.060215682
555	0.106517618	0.11555913	0.117610135	0.121211894	0.025398775	0.060683842
556	0.106160406	0.115113483	0.117346443	0.122067407	0.025454601	0.061160266
557	0.105657259	0.114516397	0.116930413	0.122934112	0.02551558	0.061631244
558	0.105059787	0.113810901	0.116413655	0.123837229	0.025607585	0.062118022
559	0.104359152	0.112977907	0.115781937	0.124730334	0.025697887	0.062613547
560	0.103573985	0.112031156	0.11505121	0.125603952	0.025762278	0.063112697
561	0.102703177	0.110980918	0.114215486	0.126477957	0.0258174	0.063604034
562	0.101742023	0.109821545	0.113281144	0.12734719	0.025873207	0.064090526
563	0.100700996	0.108561022	0.112280395	0.128228777	0.025941318	0.064590233
564	0.099576922	0.107189123	0.111185425	0.129103573	0.026006916	0.06507991
565	0.098396765	0.105743804	0.110009022	0.129990557	0.026069039	0.065559796
566	0.097159116	0.104233329	0.108760419	0.130870487	0.026128915	0.066033889
567	0.095866048	0.102660078	0.107456414	0.131739655	0.026182046	0.066507026
568	0.094557674	0.101056739	0.106124354	0.132607235	0.026226688	0.066982416
569	0.093238436	0.099434576	0.104766013	0.13347751	0.026277632	0.067453365
570	0.091910103	0.097800064	0.103392452	0.134370897	0.02635464	0.067946346
571	0.090567757	0.096170314	0.10200675	0.135252054	0.026431794	0.068438829
572	0.089242654	0.094563302	0.100622065	0.136098028	0.026481306	0.068900135
573	0.087950852	0.092990755	0.099251555	0.136904212	0.026507356	0.069331352
574	0.086696662	0.091462897	0.097914538	0.137738995	0.026548224	0.069766214
575	0.085510685	0.090010287	0.096649948	0.138596896	0.02660783	0.070208266
576	0.084427661	0.088665508	0.095492701	0.139486567	0.026691103	0.070673723
577	0.083427184	0.087407372	0.094422177	0.140384768	0.026773485	0.071159165
578	0.082509764	0.086243434	0.093432959	0.141297292	0.026853044	0.071648438
579	0.081668683	0.085164251	0.092520702	0.142204507	0.026923517	0.072121829
580	0.080890906	0.084148887	0.091670658	0.143103516	0.02699213	0.072582094
581	0.08018031	0.083193451	0.090893096	0.144039764	0.027090856	0.073060956
582	0.079537497	0.082306995	0.090185217	0.145000081	0.027198693	0.073542746
583	0.078957806	0.081488763	0.089535762	0.145967562	0.027295326	0.07400597
584	0.078412323	0.080703043	0.088932305	0.146896778	0.027368936	0.074440949
585	0.077919809	0.079970337	0.088390438	0.147828787	0.027444012	0.074868867
586	0.077495484	0.079295945	0.087913702	0.148778561	0.027526794	0.075298967
587	0.077113097	0.078660966	0.087475815	0.149728994	0.027619895	0.075718213
588	0.076761767	0.078065479	0.087073598	0.150656217	0.027710516	0.076123752
589	0.076437148	0.07749863	0.086708678	0.15156128	0.027777556	0.076515525
590	0.076145945	0.076952163	0.086370688	0.152433405	0.027806245	0.076863677
591	0.075883817	0.076434047	0.086065381	0.153288045	0.027829836	0.077183022
592	0.075652707	0.075953909	0.085803672	0.154162253	0.027878912	0.077517934
593	0.075462355	0.075522795	0.085599719	0.155064793	0.027946068	0.077874709
594	0.075307663	0.075132285	0.085436882	0.155965366	0.028007721	0.078226601
595	0.075175317	0.074772989	0.085290508	0.156881608	0.028065769	0.078581108
